student_id,submission1_score,submission2_score,submission3_score,submission4_score,final_score,submission1_link,submission2_link,submission3_link,submission4_link,final_link
STUDENT_019,9,9,9,9,8.5,https://eaai-com-ui-production.up.railway.app/api/journal/shared/S19d54ef46/198?sig=c835414d94bde8eb9b5272a13edbb0a7fa83ece12756d4097c78bab65c51e270,https://eaai-com-ui-production.up.railway.app/api/journal/shared/S19d54ef46/268?sig=ab97974255999789d778f3015f408981b22cb0120941f18ca893bf2fe71f21e1,https://eaai-com-ui-production.up.railway.app/api/journal/shared/S19d54ef46/441?sig=8d25311c1e75048a07179b43fc357dcb68c3b129ec800a71cc8e9713aa9f0de6,https://eaai-com-ui-production.up.railway.app/api/journal/shared/S19d54ef46/511?sig=279dbaa607e69c85f1c985443d2f47cc57fb464fb8aa70ff2afa4c7cee4d8939,https://eaai-com-ui-production.up.railway.app/api/journal/shared/S19d54ef46/719?sig=3fdf01cb852266424a9d46e6f6b0a26fc06a1e903133f0f7bc13fdd82d0c3323
STUDENT_020,9,9,10,10,9,https://eaai-com-ui-production.up.railway.app/api/journal/shared/S18d417f4c/125?sig=2e36048b160139477c7fba0fa1c8906bfb5ae47a6e92e342ff203c5ba4470c70,https://eaai-com-ui-production.up.railway.app/api/journal/shared/S18d417f4c/286?sig=f9e6af85844c811f473893624d310423d33080d7ec99c7be8885a4e1f703c241,https://eaai-com-ui-production.up.railway.app/api/journal/shared/S18d417f4c/402?sig=fb37a99eef6cb00656d4c51167f45606336041e9fcb1cd8035bf598c53092651,https://eaai-com-ui-production.up.railway.app/api/journal/shared/S18d417f4c/548?sig=353dd0d7323d99db3bd3e2401bc2be072cb9c8574870fedd432d9f783f9aae40,https://eaai-com-ui-production.up.railway.app/api/journal/shared/S18d417f4c/671?sig=30b5364143cdb5773ee3a54d868184503670c3e0f41b6f605d79488733eb8bed
STUDENT_021,10,10,10,10,9.5,https://eaai-com-ui-production.up.railway.app/api/journal/shared/S7b1eaa8e8/172?sig=461e9460a6dc1bb99d9f2657aa0db94195701fe2c5bb959fc77b8a2c05062054,https://eaai-com-ui-production.up.railway.app/api/journal/shared/S7b1eaa8e8/302?sig=1e6323876642092c24f5a14bdc1b26543df57ebe1ef37255afc95c14b56ab512,https://eaai-com-ui-production.up.railway.app/api/journal/shared/S7b1eaa8e8/383?sig=e56313abce778cd0a40f3b5e39b89a8ad1da39af10c264e98d6e6315febc612b,https://eaai-com-ui-production.up.railway.app/api/journal/shared/S7b1eaa8e8/537?sig=d0927e2fedebb1d13ca8efe05d28fb83c496e566cde3c661651a28904a890bcc,https://eaai-com-ui-production.up.railway.app/api/journal/shared/S7b1eaa8e8/695?sig=c23970739abd5a93baa31dc478c6804c5f5f8fb551f204d73a481e72b01157f7
STUDENT_022,10,10,10,10,8.5,https://eaai-com-ui-production.up.railway.app/api/journal/shared/Se385d8dd8/20?sig=d45bea82baab358e58bd8fba18d32f6d02bbe97e25f326d787b4b76f1b3801ec,https://eaai-com-ui-production.up.railway.app/api/journal/shared/Se385d8dd8/257?sig=73963a8ce352f2d096cc0c6e22aeb03396d0eff8e1fb983102127ba9b860e0ea,https://eaai-com-ui-production.up.railway.app/api/journal/shared/Se385d8dd8/364?sig=6c19f8f5e4185dc8173f5480262b26803fbd33d85868456b412a9ec037aa696e,https://eaai-com-ui-production.up.railway.app/api/journal/shared/Se385d8dd8/478?sig=9774a3331a09321dadf311b3dc580dacfb71851ae72ce5f4b4629d1ab39564ea,https://eaai-com-ui-production.up.railway.app/api/journal/shared/Se385d8dd8/620?sig=065bfbe22f40ab027633344c86b59366066ff5b124f67e99264596b4417af25f
STUDENT_023,8,8,10,0,9,https://eaai-com-ui-production.up.railway.app/api/journal/shared/Sa359884d7/206?sig=93b9b3029cfe9c6d467174b8af27f0c19614537a81839a00483c0e28176f8f19,https://eaai-com-ui-production.up.railway.app/api/journal/shared/Sa359884d7/323?sig=be71197b02a8fc3f9c7c4b17afbf98f62c901b5ba37af7071eed9ef6d86c85dc,https://eaai-com-ui-production.up.railway.app/api/journal/shared/Sa359884d7/433?sig=e070a967ccffa7a6189a01fad81a3c55088f5dc548c6ba9eb398d1ce38764108,,https://eaai-com-ui-production.up.railway.app/api/journal/shared/Sa359884d7/697?sig=fd04651fd847c1a5768182ed04bf66f2bbf95bae260f754e341d3ffb35a2602e
STUDENT_024,9,9,10,9,9,https://eaai-com-ui-production.up.railway.app/api/journal/shared/S70b57a150/201?sig=716775229e17f7bdadae69ecef32059141789c95c070a201b60ea8c3e9fb933e,https://eaai-com-ui-production.up.railway.app/api/journal/shared/S70b57a150/291?sig=ad6298ed7adbe802331defcfa6c2adcd709397f08a7dd5b68fbfa213af6de680,https://eaai-com-ui-production.up.railway.app/api/journal/shared/S70b57a150/459?sig=510779d634746e12e5239ec7af52a022bc88003ca2412e399c26cad2110cd926,https://eaai-com-ui-production.up.railway.app/api/journal/shared/S70b57a150/545?sig=b674204e43fcf9b1a4273f51bebb7ad454219ea494e8cc213071205fd5807819,https://eaai-com-ui-production.up.railway.app/api/journal/shared/S70b57a150/699?sig=e4c635d850c26c27167a0e7e2cd2b0c38771d143336c7b6b4abe6ffeb0c39a55
STUDENT_026,0,10,10,9.5,9.5,,https://eaai-com-ui-production.up.railway.app/api/journal/shared/S16896b29b/231?sig=40f6fa3bddb9a172a0d8fda553c956334fa2c7c0f6034632286671fd12167bb6,https://eaai-com-ui-production.up.railway.app/api/journal/shared/S16896b29b/360?sig=b56e008d3c769fc864fda1c656eaf51126a469bb929b2d97d02788c7ace41749,https://eaai-com-ui-production.up.railway.app/api/journal/shared/S16896b29b/498?sig=2612344835c9303a0346fe326281e3dc65afab4e82e1a3b8f1fc3fa8f7969b7c,https://eaai-com-ui-production.up.railway.app/api/journal/shared/S16896b29b/599?sig=89292c9dcaf66df7a9743eb174ed65c33a8183d4455e85b645cbadfebf9759f9
STUDENT_027,9,9,10,10,9.5,https://eaai-com-ui-production.up.railway.app/api/journal/shared/S4b1e16c76/168?sig=79ccab041ca401c5607cc349841eab34783344587646c8d3bed2673eedf77571,https://eaai-com-ui-production.up.railway.app/api/journal/shared/S4b1e16c76/281?sig=c6768a1c7277b7ee1e7aac07381bf043014ab6524a4cb467b0884eb99c3b1167,https://eaai-com-ui-production.up.railway.app/api/journal/shared/S4b1e16c76/359?sig=496292f900cfd1f853f3cf3f7e679167b2762363307d4aad1ad4ddf4ef857cb6,https://eaai-com-ui-production.up.railway.app/api/journal/shared/S4b1e16c76/505?sig=593d1dc1b71716bb46bd8749d1738b3e73176c9f5f722210392ae525071e40ff,https://eaai-com-ui-production.up.railway.app/api/journal/shared/S4b1e16c76/684?sig=7c7c3757a4dbeb894a78af755408b80b209b24d624e005fde7a099c9efbcec83
STUDENT_028,8.5,8.5,8.5,8.5,9,https://eaai-com-ui-production.up.railway.app/api/journal/shared/S4b166c72c/140?sig=e5bc870c7378554756e1ffcd76a25b33a2caa52a9ae1bc5796ab89e1ce83c736,https://eaai-com-ui-production.up.railway.app/api/journal/shared/S4b166c72c/249?sig=7ab3de9348845084064d00ad76e445268137e1abb5c64e07dfb5225fd7f72014,https://eaai-com-ui-production.up.railway.app/api/journal/shared/S4b166c72c/376?sig=90d178b8463e43ff99446e07f9b74da18b0d2a5d6e17f125e2a234a2bb8d28d7,https://eaai-com-ui-production.up.railway.app/api/journal/shared/S4b166c72c/483?sig=28bf68a1fdb2c51310d67e4793a4a6056499e1c1797d6354c550606653de12e6,https://eaai-com-ui-production.up.railway.app/api/journal/shared/S4b166c72c/597?sig=593174cfc248e4923a1e57e4011bf58bebe36db9f35c206b98e764665bca866d
STUDENT_029,8,8,8,8,9,,https://eaai-com-ui-production.up.railway.app/api/journal/shared/S9a0e87427/289?sig=dada10564d437ddf7fe529297ab18c4f27112001460414bcffcff5e234900160,,https://eaai-com-ui-production.up.railway.app/api/journal/shared/S9a0e87427/587?sig=dcb1636bfc95d8e83185e8d4fe4aa21150a69ab04f45d75c2465af0015cc4f05,https://eaai-com-ui-production.up.railway.app/api/journal/shared/S9a0e87427/669?sig=182876052518f2a5dd9d4a98a216a39b02cfcc97b4dac92a8e955e206c50f2e2
STUDENT_031,8,8,0,10,9,https://eaai-com-ui-production.up.railway.app/api/journal/shared/S5d89ba8ee/171?sig=3d0bceadc8cb447d26d46cca90c9c4a4da2a06c5c5267caa37b22c7ce50517f6,https://eaai-com-ui-production.up.railway.app/api/journal/shared/S5d89ba8ee/356?sig=08794e053e10f0c6e3fad71074c948c18b0d8ffc9f3cc1b13411edc6252226be,,https://eaai-com-ui-production.up.railway.app/api/journal/shared/S5d89ba8ee/543?sig=3c3fb00f4cd61b0bddfd236a33a7dd9a7e1cd1492a7b26c3bdc371a10d5e3c50,https://eaai-com-ui-production.up.railway.app/api/journal/shared/S5d89ba8ee/665?sig=1516cdfac1f9b0aaa7b9d43f07438e509404b6866f26a3f98e6b7cd36b85a10f
STUDENT_032,9,9,9,9,9.5,https://eaai-com-ui-production.up.railway.app/api/journal/shared/S965da7f17/151?sig=d064e57b345a303bb5b5c33da8024ad499511618cd11f2349c0ca0254cd4645a,https://eaai-com-ui-production.up.railway.app/api/journal/shared/S965da7f17/347?sig=c57df4cd3f23bf6ab3ecab7149b57a94a8bb9a202d7c770c10ece0909cf4b49b,https://eaai-com-ui-production.up.railway.app/api/journal/shared/S965da7f17/463?sig=7f5bd4c0c1026355f2ae7d3657dcc74a6981cf18d15660b2e580de4aff5c42d7,https://eaai-com-ui-production.up.railway.app/api/journal/shared/S965da7f17/546?sig=03d6f2793acb4019eca8217f5b321623f9c91a600601d3f33dda69e7c56c58a8,https://eaai-com-ui-production.up.railway.app/api/journal/shared/S965da7f17/715?sig=0ac7a9f0cfc77f6c59d596c73cae58d865f06111da12aa154a660fa77979da7d
STUDENT_033,,,,,,https://eaai-com-ui-production.up.railway.app/api/journal/shared/Se190af560/116?sig=f36d22905191aeb98f69ee13ae857912ee3a4417557fe752bebeb2d6d6a99951,https://eaai-com-ui-production.up.railway.app/api/journal/shared/Se190af560/337?sig=1ef01530e72447573b2bf00a467f0a36828e2e3fe320945e1460913e8c0abfe7,https://eaai-com-ui-production.up.railway.app/api/journal/shared/Se190af560/410?sig=c736d4f46fc551680d83b58df105a45ef26cd6a50da94620690f9259034548fa,https://eaai-com-ui-production.up.railway.app/api/journal/shared/Se190af560/473?sig=da032051f91b155c660d815dc4fdd28802aa292c86db08b01f7fd044f397afdc,https://eaai-com-ui-production.up.railway.app/api/journal/shared/Se190af560/614?sig=500d40de221078dec19dd7151c3b7051e18a7e71d59e819b490fe652ebfd6748
STUDENT_034,8,8,9,0,9,https://eaai-com-ui-production.up.railway.app/api/journal/shared/S059281e06/119?sig=72916ac46747008572a4b4379b76a50be4fa048ea583b7c89b76645397816f2d,https://eaai-com-ui-production.up.railway.app/api/journal/shared/S059281e06/357?sig=387fb6f140a4f6fc599e5699f655a32fbc2f6de4ec27dd9dee9cd0b45933e1d5,https://eaai-com-ui-production.up.railway.app/api/journal/shared/S059281e06/456?sig=da025ec45cc1d17e923ed9bf0b1ef7f4bb07fc20897d30b5b9890385d8a8a6c4,,https://eaai-com-ui-production.up.railway.app/api/journal/shared/S059281e06/690?sig=861ee4ef94d39950c3926b20744f4ce74ae7f8c1bd92218c12e2ba70bb246d51
STUDENT_035,9,9.5,10,10,9.5,https://eaai-com-ui-production.up.railway.app/api/journal/shared/Sccb2459cb/123?sig=31bb934b0291c16c1905c652e29bef7531dd8e4c6a525c5c3545c79535c64c8e,https://eaai-com-ui-production.up.railway.app/api/journal/shared/Sccb2459cb/265?sig=3d218d67fa15e400b607d62ccdaa99c803a73a438cecf44a7b4ada6bb58a3765,https://eaai-com-ui-production.up.railway.app/api/journal/shared/Sccb2459cb/430?sig=93df752014db958a4cbe5f9bdf8e7c07d0f9213f585e28b524c33d7256f55ef3,https://eaai-com-ui-production.up.railway.app/api/journal/shared/Sccb2459cb/469?sig=06a3f08456fb2ed9315089cb421567785936220e8b86542aade75dc6f60fc727,https://eaai-com-ui-production.up.railway.app/api/journal/shared/Sccb2459cb/598?sig=ce7a18a658744ed382c9ee2f1347e771cf4ac5f16fe46063da49bd1488ae9269
STUDENT_036,10,10,10,10,9.5,https://eaai-com-ui-production.up.railway.app/api/journal/shared/S937e87c89/154?sig=582272fffb345ff586a175836574361daecc80c0ca2dbecfd01f5f8d5d688f30,https://eaai-com-ui-production.up.railway.app/api/journal/shared/S937e87c89/350?sig=7135ef309af6d48b077dd204d864815386c0524cef7e80acbbc1ea378c7f6d7d,https://eaai-com-ui-production.up.railway.app/api/journal/shared/S937e87c89/406?sig=81cd0eb8dc62fd8673c3cd2ae07e5aab91b932b0478ad8105bac5c2a263aeb9f,https://eaai-com-ui-production.up.railway.app/api/journal/shared/S937e87c89/561?sig=7f5d958a8d48914d32bd2a82d2aa2f04d38b5c18ef56ce5aa0b6ee6c00907a44,https://eaai-com-ui-production.up.railway.app/api/journal/shared/S937e87c89/678?sig=e07fb350a9ae6938516e0e5a6992b2949ef2967a41e0a5711af5b4bb4a855250
